id,type,name,name_zh,name_en,latitude,longitude,elevation,prominence,wikipedia,wikidata,description
12468292662,summit_board,西阿玉山,西阿玉山,Xiayushan,24.7875627,121.5921065,,,,,
12468295128,summit_board,西阿里關山,西阿里關山,Xialiguanshan,23.1829781,120.6411849,970,,,,小百岳認證 #066 西阿里關山
12468292675,summit_board,西頭山,西頭山,Xitoushan,25.0828774,121.6580092,174.48,,,Q31392410,
12468294732,summit_board,西馬縫山,西馬縫山,Ximafengshan,24.5692863,121.5269656,1193.34,,,,
12468294424,summit_board,西高橋山,西高橋山,Xigaoqiaoshan,24.5628433,121.167689,1770.00,,,,
12468291765,summit_board,西鳳林山,西鳳林山,Xifenglinshan,23.7614484,121.3889092,,,,Q31603159,
12468291796,summit_board,西鶯山,西鶯山,Xiyingshan,24.9593545,121.3467898,120,,,,區界586水泥基石
12468294274,summit_board,西龜山,西龜山,Xiguishan,23.0040288,120.6746339,880.00,,,,
12468294518,summit_board,見付山,見付山,Jianfushan,23.0345844,120.7439765,1686.30,,,Q31609970,
12468294524,summit_board,見睛山,見睛山,Jianjingshan,23.00548,120.8504072,2720.06,,,Q31614163,
12468294736,summit_board,見睛山,見睛山,Jianjingshan,24.5103309,121.5240194,1880.41,,,,
12468294749,summit_board,見睛山,見睛山,Jianjingshan,23.8417596,121.3003212,2794.87,,,Q31616814,
12468294915,summit_board,見睛山,見睛山,Jianjingshan,24.4556174,121.4780049,2491.53,,,,
12468294590,summit_board,規那山,規那山,Guinashan,22.6322095,120.9412782,1397.41,,,Q31601890,
12468292829,summit_board,觀景峰,,,22.6579403,120.2590879,252,,,,
12468293757,summit_board,觀音坑,觀音坑,Guanyinkeng,25.1122363,121.4364043,219.58,,,Q31392495,
12468291615,summit_board,觀音山,觀音山,Guanyinshan,23.5130743,119.5985779,16,,,,
12468292208,summit_board,觀音山,觀音山,Guanyinshan,25.0107661,121.5339341,,,,,
12468292565,summit_board,觀音山,觀音山,Guanyinshan,24.4387451,120.8360395,597,,,Q31601930,
12468293439,summit_board,觀音山,觀音山,Guanyinshan,23.0044696,120.3779768,152.29,,,Q31391611,
12468293481,summit_board,觀音山,觀音山,Guanyinshan,23.665559,120.5949472,215.21,,,Q31391606,
12468293552,summit_board,觀音山,觀音山,Guanyinshan,24.2434837,120.7480086,481.82,,,Q31601904,
12468293942,summit_board,觀音山,觀音山,Guanyinshan,23.3919463,121.358858,222.85,,,Q31391608,
12468294110,summit_board,觀音山,觀音山,Guanyinshan,23.5835307,120.5767216,429.56,,,Q31609435,
12468294408,summit_board,觀音山,觀音山,Guanyinshan,24.5229411,120.9542088,890.00,,,,
12468294635,summit_board,觀音山,觀音山,Guanyinshan,24.2785286,120.9264179,1250.70,,,Q31601944,
